time,cycle,temperature,pressure,vibration,speed
0.0,1,25.5,100.2,0.1,1500
0.1,1,26.3,101.5,0.15,1520
0.2,1,27.1,102.1,0.12,1510
0.3,1,27.8,102.8,0.14,1505
0.4,1,28.2,103.2,0.16,1515
0.5,1,28.5,103.5,0.13,1525
0.0,2,25.3,99.8,0.11,1498
0.1,2,26.1,100.9,0.16,1518
0.2,2,26.9,101.8,0.13,1508
0.3,2,27.5,102.5,0.15,1503
0.4,2,28.0,103.0,0.17,1513
0.5,2,28.3,103.3,0.14,1523
0.0,3,25.4,100.0,0.12,1499
0.1,3,26.2,101.2,0.17,1519
0.2,3,27.0,102.0,0.14,1509
0.3,3,27.6,102.6,0.16,1504
0.4,3,28.1,103.1,0.18,1514
0.5,3,28.4,103.4,0.15,1524
